,species,species_b,Specie
1,Aeronautes_saxatalis,Aeronautes_saxatalis,"Aeronautes saxatalis (Woodhouse, 1853)"
2,Chaetura_vauxi,Chaetura_vauxi,"Chaetura vauxi (Townsend, 1839)"
3,Cypseloides_niger,Cypseloides_niger,"Cypseloides niger (Gmelin, JF, 1789)"
4,Panyptila_sanctihieronymi,Cypseloides_storeri,"Cypseloides storeri Navarro, Peterson, Escalante & Benitez, 1992"
5,Streptoprocne_zonaris,Panyptila_sanctihieronymi,"Panyptila sanctihieronymi Salvin, 1863"
6,Tachornis_furcata,Streptoprocne_rutila,"Streptoprocne rutila (Vieillot, 1817)"
7,Amazilia_beryllina,Streptoprocne_semicollaris,"Streptoprocne semicollaris (DeSaussure, 1859)"
8,Amazilia_cyanura,Streptoprocne_zonaris,"Streptoprocne zonaris (Shaw, 1796)"
9,Amazilia_fimbriata,Tachornis_furcata,"Tachornis furcata (Sutton, 1928)"
10,Amazilia_franciae,Tachornis_phoenicobia,"Tachornis phoenicobia Gosse, 1847"
11,Amazilia_luciae,Aglaiocercus_berlepschi,"Aglaiocercus berlepschi (Hartert, 1898)"
12,Amazilia_rutila,Amazilia_beryllina,"Amazilia beryllina (Deppe, 1830)"
13,Amazilia_saucerrottei,Amazilia_candida,"Amazilia candida (Bourcier & Mulsant, 1846)"
14,Amazilia_tobaci,Amazilia_cyanocephala,"Amazilia cyanocephala (Lesson, R, 1830)"
15,Amazilia_tzacatl,Amazilia_cyanura,"Amazilia cyanura Gould, 1859"
16,Amazilia_versicolor,Amazilia_fimbriata,"Amazilia fimbriata (Gmelin, JF, 1788)"
17,Amazilia_violiceps,Amazilia_franciae,"Amazilia franciae (Bourcier & Mulsant, 1846)"
18,Amazilia_viridifrons,Amazilia_luciae,"Amazilia luciae (Lawrence, 1868)"
19,Amazilia_yucatanensis,Amazilia_rutila,"Amazilia rutila (Delattre, 1843)"
20,Anthracothorax_nigricollis,Amazilia_saucerrottei,"Amazilia saucerrottei (Delattre & Bourcier, 1846)"
21,Anthracothorax_prevostii,Amazilia_tobaci,"Amazilia tobaci (Gmelin, JF, 1788)"
22,Hylocharis_leucotis,Amazilia_tzacatl,"Amazilia tzacatl (de la Llave, 1833)"
23,Hylocharis_xantusii,Amazilia_versicolor,"Amazilia versicolor (Vieillot, 1818)"
