CELLID,Chaetura_vauxi,Cypseloides_niger,Panyptila_sanctihieronymi,Streptoprocne_zonaris,Tachornis_furcata,Amazilia_beryllina,Amazilia_cyanura,Amazilia_fimbriata,Amazilia_franciae,Amazilia_luciae,Amazilia_rutila,Amazilia_saucerrottei,Amazilia_tobaci,Amazilia_tzacatl,Amazilia_versicolor,Amazilia_violiceps,Amazilia_viridifrons,Amazilia_yucatanensis,Anthracothorax_nigricollis,Anthracothorax_prevostii,Hylocharis_leucotis,Hylocharis_xantusii,Streptoprocne_rutila,Calothorax_lucifer,Calothorax_pulcher,Calypte_costae,Campylopterus_ensipennis,Campylopterus_falcatus,Campylopterus_hemileucurus,Campylopterus_rufus,Chalybura_buffonii,Chlorostilbon_alice,Chlorostilbon_auriceps,Chlorostilbon_canivetii,Chlorostilbon_forficatus,Chlorostilbon_gibsoni,Chlorostilbon_russatus,Chrysolampis_mosquitus,Streptoprocne_semicollaris,Colibri_delphinae,Colibri_thalassinus,Cynanthus_sordidus,Tachornis_phoenicobia,Amazilia_candida,Amazilia_cyanocephala,Anthracothorax_dominicus,Atthis_ellioti,Atthis_heloisa,Chlorostilbon_ricordii,Chlorostilbon_swainsonii,Cynanthus_latirostris,Doricha_eliza,Eupherusa_poliocerca,Hylocharis_cyanus,Lophornis_stictolophus,Doricha_enicura,Eugenes_fulgens,Eupherusa_cyanophrys,Eupherusa_eximia,Heliomaster_constantii,Heliomaster_longirostris,Hylocharis_eliciae,Damophila_julie,Lampornis_amethystinus,Lampornis_clemenciae,Lampornis_viridipallens,Lamprolaima_rhami,Lepidopyga_coeruleogularis,Lepidopyga_goudoti,Lesbia_nuna,Lesbia_victoriae,Leucippus_fallax,Lophornis_helenae,Mellisuga_helenae,Mellisuga_minima,Phaeochroa_cuvierii,Phaethornis_anthophilus,Phaethornis_augusti,Phaethornis_griseogularis,Phaethornis_striigularis,Polytmus_guainumbi,Selasphorus_platycercus,Thalurania_colombica,Thalurania_ridgwayi,Tilmatura_dupontii,Amazona_albifrons,Amazona_auropalliata,Amazona_autumnalis,Amazona_barbadensis,Amazona_finschi,Amazona_leucocephala,Amazona_oratrix,Amazona_ventralis,Amazona_xantholora,Ara_militaris,Brotogeris_jugularis,Aratinga_canicularis,Aratinga_nana,Aratinga_pertinax,Forpus_conspicillatus,Forpus_cyanopygius,Forpus_passerinus,Forpus_xanthopterygius,Pionus_senilis,Aratinga_euops,Pyrilia_pyrilia,Pyrrhura_picta,Aratinga_acuticaudata,Touit_batavicus,Hypnelus_ruficollis,Brachygalba_goeringi,Galbula_ruficauda,Campephilus_guatemalensis,Campephilus_melanoleucos,Colaptes_auricularis,Colaptes_chrysoides,Colaptes_punctigula,Colaptes_rubiginosus,Dryocopus_lineatus,Picoides_scalaris,Melanerpes_chrysogenys,Melanerpes_hoffmannii,Melanerpes_hypopolius,Melanerpes_pucherani,Melanerpes_pygmaeus,Melanerpes_rubricapillus,Melanerpes_striatus,Melanerpes_superciliaris,Melanerpes_uropygialis,Nesoctites_micromegas,Piculus_chrysochloros,Picumnus_cinnamomeus,Picumnus_granadensis,Picumnus_olivaceus,Picumnus_squamulatus,Veniliornis_kirkii,Xiphidiopicus_percussus,Pteroglossus_torquatus,Ramphastos_sulfuratus,Picoides_arizonae,Picoides_fumigatus,Lophornis_brachylophus,Lepidopyga_lilliae,Calliphlox_amethystina,Cypseloides_storeri,Aglaiocercus_berlepschi,Campylopterus_curvipennis,Phaethornis_longirostris,Ara_chloropterus,Aratinga_holochlora
5691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
