Specie,IUCN category,Sensitivity,Foraging strata,Center of abundance,Relative abundance,Associated to NDF,Number of ecosystems reported,% distribution within NSDF,Maximum weight (gr),Maximun longitude (cm),sfm,meandom,mindom,maxdom,dfrange,dfslope
Aeronautes_saxatalis,2,1,1,4,1,0,6,16.07,34,18,0.108671472,4.347887732,3.399712776,5.160368796,1.76065602,-1.220767459
Aglaiocercus_berlepschi,5,2,6,4,2,0,2,10.03,5.5,22,0.230424877,6.876228462,6.081933594,7.474414063,1.392480469,-7.198966054
Amazilia_beryllina,2,2,6,4,2,1,4,33.51,4.4,10,0.16084359,6.266504606,4.694862432,8.106470788,3.411608356,-7.194677721
Amazilia_candida,2,2,4,3,1,0,3,16.07,3.8,11,0.048207574,7.0170896,6.499714543,7.377606671,0.877892127,5.021574908
Amazilia_cyanocephala,2,2,6,6,2,0,3,12.82,5.8,11,0.054518538,7.482810858,6.272314453,8.684033203,2.41171875,-7.39112232
Amazilia_cyanura,2,1,6,3,2,1,3,11.95,4,10,0.095504863,4.750575857,3.504528809,6.206945801,2.702416992,-0.932619552
Amazilia_fimbriata,2,1,4,3,1,0,5,14.86,4.6,12,0.041947826,7.282524556,6.060793202,8.849182311,2.788389109,-8.921818111
Amazilia_franciae,2,1,4,6,2,0,4,5.45,5.6,11,0.068891121,6.804614525,5.855650916,7.721033654,1.865382737,-1.738228225
Amazilia_luciae,5,2,4,3,3,1,3,2.08,2,10,0.117750648,3.346014408,2.724226262,4.103455529,1.379229267,0.992873017
Amazilia_rutila,2,1,4,3,1,1,3,35.43,5,10,0.138936991,4.028356797,3.414850896,4.886461509,1.471610614,-0.783561825
Amazilia_saucerrottei,2,1,4,3,1,0,4,19.23,5,11,0.161918608,5.58390148,3.379277344,6.879140625,3.499863281,4.306361159
Amazilia_tobaci,2,1,4,3,1,1,4,10.57,4.6,11,0.012258772,6.738984453,5.86034405,7.142397837,1.282053786,4.04791385
Amazilia_tzacatl,2,1,4,3,1,0,3,33.01,5.5,11,0.10326266,6.126860439,4.893323704,7.834733463,2.941409759,-10.01791547
